"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"울산광역시  (3100000000)","1,092,797","1,092,797","68,174","109,609","111,956","136,652","169,576","199,333","178,534","84,406","30,057","4,403","97","563,285","563,285","34,930","56,919","64,715","75,436","88,023","99,891","90,354","40,760","11,298","950","9","529,512","529,512","33,244","52,690","47,241","61,216","81,553","99,442","88,180","43,646","18,759","3,453","88"
"울산광역시 중구 (3111000000)","203,924","203,924","11,722","18,901","19,183","24,441","29,732","36,716","36,335","18,973","7,045","861","15","103,171","103,171","6,059","9,866","10,982","13,245","15,346","18,140","17,847","8,802","2,681","201","2","100,753","100,753","5,663","9,035","8,201","11,196","14,386","18,576","18,488","10,171","4,364","660","13"
"울산광역시 남구 (3114000000)","304,512","304,512","17,703","27,924","35,011","41,708","44,673","56,569","49,127","23,115","7,642","1,012","28","155,973","155,973","9,115","14,579","20,007","23,148","22,808","27,671","24,389","11,030","2,972","252","2","148,539","148,539","8,588","13,345","15,004","18,560","21,865","28,898","24,738","12,085","4,670","760","26"
"울산광역시 동구 (3117000000)","149,644","149,644","9,281","16,406","14,480","17,332","26,122","24,326","25,056","12,651","3,534","439","17","78,236","78,236","4,711","8,518","8,245","9,853","14,132","12,802","12,117","6,346","1,422","90","0","71,408","71,408","4,570","7,888","6,235","7,479","11,990","11,524","12,939","6,305","2,112","349","17"
"울산광역시 북구 (3120000000)","215,546","215,546","17,523","25,477","21,607","29,550","37,988","38,293","29,574","10,885","3,993","645","11","112,107","112,107","8,965","13,162","12,982","16,174","19,470","18,823","15,686","5,271","1,448","124","2","103,439","103,439","8,558","12,315","8,625","13,376","18,518","19,470","13,888","5,614","2,545","521","9"
"울산광역시 울주군 (3171000000)","219,171","219,171","11,945","20,901","21,675","23,621","31,061","43,429","38,442","18,782","7,843","1,446","26","113,798","113,798","6,080","10,794","12,499","13,016","16,267","22,455","20,315","9,311","2,775","283","3","105,373","105,373","5,865","10,107","9,176","10,605","14,794","20,974","18,127","9,471","5,068","1,163","23"
"세종특별자치시  (3600000000)","392,406","392,406","39,079","53,971","36,696","58,153","76,645","58,859","39,414","19,357","8,405","1,783","44","195,359","195,359","19,874","27,320","18,675","28,800","37,548","30,688","19,620","9,273","3,161","395","5","197,047","197,047","19,205","26,651","18,021","29,353","39,097","28,171","19,794","10,084","5,244","1,388","39"
"세종특별자치시  (3611000000)","392,406","392,406","39,079","53,971","36,696","58,153","76,645","58,859","39,414","19,357","8,405","1,783","44","195,359","195,359","19,874","27,320","18,675","28,800","37,548","30,688","19,620","9,273","3,161","395","5","197,047","197,047","19,205","26,651","18,021","29,353","39,097","28,171","19,794","10,084","5,244","1,388","39"
"경기도  (4100000000)","13,724,652","13,724,652","896,109","1,327,267","1,570,369","1,920,159","2,187,644","2,358,528","1,955,281","974,855","455,022","77,348","2,070","6,893,167","6,893,167","458,782","678,558","821,527","1,006,220","1,116,730","1,186,248","976,051","454,351","174,661","19,623","416","6,831,485","6,831,485","437,327","648,709","748,842","913,939","1,070,914","1,172,280","979,230","520,504","280,361","57,725","1,654"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,187,977","1,187,977","73,263","110,985","163,827","187,271","185,538","200,731","156,690","71,773","32,372","5,368","159","596,790","596,790","37,728","57,257","85,097","99,450","94,108","99,163","77,853","32,739","12,039","1,330","26","591,187","591,187","35,535","53,728","78,730","87,821","91,430","101,568","78,837","39,034","20,333","4,038","133"
"경기도 수원시 장안구 (4111100000)","271,552","271,552","13,874","25,262","38,290","35,403","38,780","49,571","39,867","19,180","9,628","1,651","46","136,094","136,094","7,009","13,081","20,841","18,887","19,373","24,371","19,893","8,625","3,601","407","6","135,458","135,458","6,865","12,181","17,449","16,516","19,407","25,200","19,974","10,555","6,027","1,244","40"
"경기도 수원시 권선구 (4111300000)","361,215","361,215","21,437","31,789","45,621","57,435","56,460","61,341","52,382","23,391","9,717","1,598","44","182,262","182,262","11,132","16,318","23,386","30,983","29,423","30,188","25,928","10,890","3,605","402","7","178,953","178,953","10,305","15,471","22,235","26,452","27,037","31,153","26,454","12,501","6,112","1,196","37"
"경기도 수원시 팔달구 (4111500000)","192,391","192,391","10,497","13,088","28,242","32,076","26,680","31,917","27,509","14,648","6,702","996","36","96,715","96,715","5,436","6,742","14,249","17,373","13,959","16,069","13,532","6,574","2,512","264","5","95,676","95,676","5,061","6,346","13,993","14,703","12,721","15,848","13,977","8,074","4,190","732","31"
"경기도 수원시 영통구 (4111700000)","362,819","362,819","27,455","40,846","51,674","62,357","63,618","57,902","36,932","14,554","6,325","1,123","33","181,719","181,719","14,151","21,116","26,621","32,207","31,353","28,535","18,500","6,650","2,321","257","8","181,100","181,100","13,304","19,730","25,053","30,150","32,265","29,367","18,432","7,904","4,004","866","25"
"경기도 성남시 (4113000000)","906,754","906,754","54,458","81,195","106,692","134,314","141,148","151,296","129,913","70,457","31,638","5,488","155","448,029","448,029","27,783","41,432","54,337","69,314","70,101","75,145","63,356","32,444","12,651","1,428","38","458,725","458,725","26,675","39,763","52,355","65,000","71,047","76,151","66,557","38,013","18,987","4,060","117"
"경기도 성남시 수정구 (4113100000)","232,658","232,658","12,791","15,964","28,354","35,519","33,910","38,373","37,130","20,986","8,403","1,196","32","117,614","117,614","6,504","8,064","14,878","19,039","17,921","19,753","18,280","9,633","3,259","277","6","115,044","115,044","6,287","7,900","13,476","16,480","15,989","18,620","18,850","11,353","5,144","919","26"
"경기도 성남시 중원구 (4113300000)","204,356","204,356","10,456","13,996","24,122","31,331","29,184","34,012","34,081","18,451","7,645","1,036","42","102,868","102,868","5,274","7,235","12,389","16,942","15,352","17,264","16,698","8,520","2,953","232","9","101,488","101,488","5,182","6,761","11,733","14,389","13,832","16,748","17,383","9,931","4,692","804","33"
"경기도 성남시 분당구 (4113500000)","469,740","469,740","31,211","51,235","54,216","67,464","78,054","78,911","58,702","31,020","15,590","3,256","81","227,547","227,547","16,005","26,133","27,070","33,333","36,828","38,128","28,378","14,291","6,439","919","23","242,193","242,193","15,206","25,102","27,146","34,131","41,226","40,783","30,324","16,729","9,151","2,337","58"
"경기도 의정부시 (4115000000)","461,621","461,621","27,135","39,680","54,154","60,607","67,886","82,086","71,023","37,577","18,617","2,791","65","226,656","226,656","14,035","20,411","27,164","31,223","34,718","40,024","34,519","16,752","7,062","737","11","234,965","234,965","13,100","19,269","26,990","29,384","33,168","42,062","36,504","20,825","11,555","2,054","54"
"경기도 안양시 (4117000000)","563,591","563,591","35,252","49,159","64,732","86,570","83,183","94,927","86,445","42,198","17,857","3,192","76","277,900","277,900","17,987","25,220","33,409","44,652","41,792","45,899","41,495","20,012","6,672","752","10","285,691","285,691","17,265","23,939","31,323","41,918","41,391","49,028","44,950","22,186","11,185","2,440","66"
"경기도 안양시 만안구 (4117100000)","233,860","233,860","12,511","16,287","27,178","35,018","31,446","39,611","40,309","20,972","9,018","1,472","38","116,466","116,466","6,309","8,392","14,099","18,495","16,528","19,377","19,526","9,944","3,423","371","2","117,394","117,394","6,202","7,895","13,079","16,523","14,918","20,234","20,783","11,028","5,595","1,101","36"
"경기도 안양시 동안구 (4117300000)","329,731","329,731","22,741","32,872","37,554","51,552","51,737","55,316","46,136","21,226","8,839","1,720","38","161,434","161,434","11,678","16,828","19,310","26,157","25,264","26,522","21,969","10,068","3,249","381","8","168,297","168,297","11,063","16,044","18,244","25,395","26,473","28,794","24,167","11,158","5,590","1,339","30"
"경기도 부천시 (4119000000)","760,538","760,538","39,112","62,133","86,579","104,240","111,862","133,394","132,053","61,906","24,884","4,256","119","374,806","374,806","20,019","31,822","43,878","54,245","56,824","64,966","63,675","29,219","9,186","956","16","385,732","385,732","19,093","30,311","42,701","49,995","55,038","68,428","68,378","32,687","15,698","3,300","103"
"경기도 부천시 원미구 (4119200000)","385,479","385,479","19,997","31,915","46,110","55,466","57,186","66,909","65,122","29,217","11,425","2,074","58","189,057","189,057","10,172","16,290","22,968","28,462","28,689","32,388","31,418","13,949","4,256","460","5","196,422","196,422","9,825","15,625","23,142","27,004","28,497","34,521","33,704","15,268","7,169","1,614","53"
"경기도 부천시 소사구 (4119400000)","226,105","226,105","13,585","19,481","22,998","30,504","35,456","37,083","37,969","19,885","7,803","1,301","40","110,648","110,648","7,004","9,891","11,699","15,684","17,966","17,958","17,822","9,289","3,016","311","8","115,457","115,457","6,581","9,590","11,299","14,820","17,490","19,125","20,147","10,596","4,787","990","32"
"경기도 부천시 오정구 (4119600000)","148,954","148,954","5,530","10,737","17,471","18,270","19,220","29,402","28,962","12,804","5,656","881","21","75,101","75,101","2,843","5,641","9,211","10,099","10,169","14,620","14,435","5,981","1,914","185","3","73,853","73,853","2,687","5,096","8,260","8,171","9,051","14,782","14,527","6,823","3,742","696","18"
"경기도 광명시 (4121000000)","290,129","290,129","17,849","27,776","32,541","40,782","45,359","50,084","42,596","22,362","9,203","1,533","44","141,964","141,964","9,066","14,171","16,578","20,922","22,330","24,552","20,307","10,294","3,388","348","8","148,165","148,165","8,783","13,605","15,963","19,860","23,029","25,532","22,289","12,068","5,815","1,185","36"
"경기도 평택시 (4122000000)","607,435","607,435","46,630","58,322","72,580","98,549","100,562","101,014","74,524","34,938","17,402","2,843","71","318,534","318,534","23,685","29,705","40,507","55,542","54,567","53,191","38,286","15,960","6,382","698","11","288,901","288,901","22,945","28,617","32,073","43,007","45,995","47,823","36,238","18,978","11,020","2,145","60"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","86,660","86,660","3,636","7,438","8,629","8,388","11,304","15,813","15,502","9,514","5,589","831","16","43,186","43,186","1,865","3,777","4,624","4,575","5,781","8,273","7,812","4,227","2,017","230","5","43,474","43,474","1,771","3,661","4,005","3,813","5,523","7,540","7,690","5,287","3,572","601","11"
"경기도 안산시 (4127000000)","613,534","613,534","29,887","52,576","83,343","82,949","85,693","121,041","99,216","37,946","17,490","3,276","117","314,305","314,305","15,226","26,989","44,307","45,949","44,827","60,559","51,584","17,929","6,176","731","28","299,229","299,229","14,661","25,587","39,036","37,000","40,866","60,482","47,632","20,017","11,314","2,545","89"
"경기도 안산시 상록구 (4127100000)","323,517","323,517","14,349","28,124","45,039","40,968","44,655","65,196","52,653","20,478","10,144","1,843","68","165,188","165,188","7,311","14,361","24,080","22,708","23,228","32,524","27,418","9,550","3,557","434","17","158,329","158,329","7,038","13,763","20,959","18,260","21,427","32,672","25,235","10,928","6,587","1,409","51"
"경기도 안산시 단원구 (4127300000)","290,017","290,017","15,538","24,452","38,304","41,981","41,038","55,845","46,563","17,468","7,346","1,433","49","149,117","149,117","7,915","12,628","20,227","23,241","21,599","28,035","24,166","8,379","2,619","297","11","140,900","140,900","7,623","11,824","18,077","18,740","19,439","27,810","22,397","9,089","4,727","1,136","38"
"경기도 고양시 (4128000000)","1,060,936","1,060,936","62,216","95,868","121,190","144,134","158,603","195,207","160,319","74,270","41,335","7,620","174","516,295","516,295","31,808","48,853","60,767","72,253","77,845","94,342","79,420","33,853","15,053","2,069","32","544,641","544,641","30,408","47,015","60,423","71,881","80,758","100,865","80,899","40,417","26,282","5,551","142"
"경기도 고양시 덕양구 (4128100000)","486,343","486,343","31,398","40,696","52,209","71,076","74,818","84,447","72,799","36,344","19,239","3,241","76","238,360","238,360","16,110","20,651","26,239","35,620","37,740","41,560","36,010","16,520","7,064","835","11","247,983","247,983","15,288","20,045","25,970","35,456","37,078","42,887","36,789","19,824","12,175","2,406","65"
"경기도 고양시 일산동구 (4128500000)","296,010","296,010","16,269","26,839","35,816","40,185","43,736","55,806","44,850","19,308","10,838","2,312","51","143,515","143,515","8,296","13,747","17,608","20,106","21,182","26,763","22,297","8,952","3,932","621","11","152,495","152,495","7,973","13,092","18,208","20,079","22,554","29,043","22,553","10,356","6,906","1,691","40"
"경기도 고양시 일산서구 (4128700000)","278,583","278,583","14,549","28,333","33,165","32,873","40,049","54,954","42,670","18,618","11,258","2,067","47","134,420","134,420","7,402","14,455","16,920","16,527","18,923","26,019","21,113","8,381","4,057","613","10","144,163","144,163","7,147","13,878","16,245","16,346","21,126","28,935","21,557","10,237","7,201","1,454","37"
"경기도 과천시 (4129000000)","79,941","79,941","8,244","8,082","8,193","12,169","12,870","11,983","10,540","4,925","2,384","536","15","38,943","38,943","4,198","4,104","4,158","5,833","6,369","5,702","5,142","2,336","938","160","3","40,998","40,998","4,046","3,978","4,035","6,336","6,501","6,281","5,398","2,589","1,446","376","12"
"경기도 구리시 (4131000000)","185,909","185,909","10,191","16,325","21,457","24,895","28,170","33,605","29,603","14,354","6,386","902","21","92,061","92,061","5,237","8,427","10,822","12,892","14,250","16,271","14,722","6,655","2,536","242","7","93,848","93,848","4,954","7,898","10,635","12,003","13,920","17,334","14,881","7,699","3,850","660","14"
"경기도 남양주시 (4136000000)","730,395","730,395","46,845","78,760","77,407","84,418","120,650","130,364","103,604","57,619","26,498","4,102","128","361,086","361,086","24,069","40,317","39,804","42,526","59,439","65,694","51,285","26,426","10,427","1,070","29","369,309","369,309","22,776","38,443","37,603","41,892","61,211","64,670","52,319","31,193","16,071","3,032","99"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","247,468","247,468","17,994","26,904","28,652","39,551","46,295","40,670","27,926","12,797","5,831","829","19","129,102","129,102","9,210","13,805","15,618","22,012","24,953","21,282","13,975","5,906","2,144","194","3","118,366","118,366","8,784","13,099","13,034","17,539","21,342","19,388","13,951","6,891","3,687","635","16"
"경기도 시흥시 (4139000000)","514,702","514,702","38,453","51,988","58,146","74,195","89,407","92,509","69,343","26,739","11,855","2,008","59","268,118","268,118","19,550","26,591","31,530","39,886","48,011","48,313","36,807","12,836","4,168","416","10","246,584","246,584","18,903","25,397","26,616","34,309","41,396","44,196","32,536","13,903","7,687","1,592","49"
"경기도 군포시 (4141000000)","251,962","251,962","12,524","22,411","30,203","34,300","35,722","45,386","41,250","19,087","9,183","1,854","42","124,890","124,890","6,406","11,591","15,836","18,278","17,952","22,032","19,931","8,951","3,401","502","10","127,072","127,072","6,118","10,820","14,367","16,022","17,770","23,354","21,319","10,136","5,782","1,352","32"
"경기도 의왕시 (4143000000)","159,082","159,082","10,957","13,247","17,747","23,857","22,266","26,831","26,059","11,983","5,086","1,018","31","78,567","78,567","5,646","6,787","9,206","12,194","11,364","12,702","12,614","5,834","2,003","211","6","80,515","80,515","5,311","6,460","8,541","11,663","10,902","14,129","13,445","6,149","3,083","807","25"
"경기도 하남시 (4145000000)","327,853","327,853","26,736","33,440","33,339","49,270","59,877","49,573","42,359","23,569","8,292","1,358","40","162,770","162,770","13,812","16,782","16,507","24,388","30,393","25,174","20,503","11,425","3,479","300","7","165,083","165,083","12,924","16,658","16,832","24,882","29,484","24,399","21,856","12,144","4,813","1,058","33"
"경기도 용인시 (4146000000)","1,092,409","1,092,409","73,109","121,902","128,460","137,701","182,080","191,913","132,820","78,284","39,674","6,304","162","541,037","541,037","37,254","62,169","67,112","70,209","89,352","95,508","65,744","34,799","16,897","1,958","35","551,372","551,372","35,855","59,733","61,348","67,492","92,728","96,405","67,076","43,485","22,777","4,346","127"
"경기도 용인시 처인구 (4146100000)","283,122","283,122","17,944","27,060","32,608","37,322","44,457","49,142","41,887","21,337","9,618","1,708","39","144,909","144,909","9,114","13,872","17,863","20,124","23,274","25,256","21,220","10,092","3,657","429","8","138,213","138,213","8,830","13,188","14,745","17,198","21,183","23,886","20,667","11,245","5,961","1,279","31"
"경기도 용인시 기흥구 (4146300000)","434,701","434,701","27,461","48,899","53,495","52,139","71,408","79,552","51,578","31,059","16,378","2,653","79","213,991","213,991","14,122","24,973","27,887","26,702","34,529","39,145","25,206","13,527","7,018","865","17","220,710","220,710","13,339","23,926","25,608","25,437","36,879","40,407","26,372","17,532","9,360","1,788","62"
"경기도 용인시 수지구 (4146500000)","374,586","374,586","27,704","45,943","42,357","48,240","66,215","63,219","39,355","25,888","13,678","1,943","44","182,137","182,137","14,018","23,324","21,362","23,383","31,549","31,107","19,318","11,180","6,222","664","10","192,449","192,449","13,686","22,619","20,995","24,857","34,666","32,112","20,037","14,708","7,456","1,279","34"
"경기도 파주시 (4148000000)","523,806","523,806","38,596","55,025","54,695","73,307","87,210","88,343","68,594","35,516","19,209","3,240","71","264,037","264,037","19,740","27,920","29,196","37,762","45,207","45,401","34,546","16,248","7,163","836","18","259,769","259,769","18,856","27,105","25,499","35,545","42,003","42,942","34,048","19,268","12,046","2,404","53"
"경기도 이천시 (4150000000)","224,099","224,099","13,684","22,319","27,087","31,189","33,674","36,847","33,356","16,541","7,947","1,417","38","117,079","117,079","7,113","11,536","15,450","17,576","17,679","19,155","17,184","7,963","3,034","375","14","107,020","107,020","6,571","10,783","11,637","13,613","15,995","17,692","16,172","8,578","4,913","1,042","24"
"경기도 안성시 (4155000000)","196,642","196,642","10,536","17,706","21,977","23,487","29,056","34,027","31,886","17,475","8,837","1,616","39","101,619","101,619","5,454","9,101","12,031","13,148","15,624","17,946","16,238","8,429","3,260","384","4","95,023","95,023","5,082","8,605","9,946","10,339","13,432","16,081","15,648","9,046","5,577","1,232","35"
"경기도 김포시 (4157000000)","484,654","484,654","38,300","55,899","46,523","62,700","91,819","76,200","61,376","34,479","14,893","2,410","55","241,800","241,800","19,695","28,413","23,773","31,187","46,390","39,239","30,389","16,067","6,017","618","12","242,854","242,854","18,605","27,486","22,750","31,513","45,429","36,961","30,987","18,412","8,876","1,792","43"
"경기도 화성시 (4159000000)","988,166","988,166","89,804","116,982","109,660","164,155","186,726","150,279","101,894","45,638","19,456","3,495","77","512,411","512,411","46,062","59,427","58,672","87,342","97,914","79,837","52,985","21,923","7,451","788","10","475,755","475,755","43,742","57,555","50,988","76,813","88,812","70,442","48,909","23,715","12,005","2,707","67"
"경기도 화성시동부출장소 (4159200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 화성시동탄출장소 (4159400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 광주시 (4161000000)","397,502","397,502","26,911","36,362","38,773","51,844","67,410","69,912","61,292","30,821","12,254","1,862","61","202,511","202,511","13,767","18,608","20,561","27,205","35,419","35,896","30,606","14,922","5,054","456","17","194,991","194,991","13,144","17,754","18,212","24,639","31,991","34,016","30,686","15,899","7,200","1,406","44"
"경기도 양주시 (4163000000)","295,263","295,263","22,689","28,855","31,096","40,147","46,608","49,918","41,237","22,189","10,676","1,800","48","148,451","148,451","11,517","14,541","16,401","20,660","23,978","25,449","20,834","10,396","4,189","476","10","146,812","146,812","11,172","14,314","14,695","19,487","22,630","24,469","20,403","11,793","6,487","1,324","38"
"경기도 포천시 (4165000000)","140,645","140,645","5,728","9,867","14,201","13,819","15,682","26,334","30,547","15,034","7,932","1,446","55","74,433","74,433","3,005","5,130","8,069","7,932","8,526","14,267","16,656","7,576","2,914","339","19","66,212","66,212","2,723","4,737","6,132","5,887","7,156","12,067","13,891","7,458","5,018","1,107","36"
"경기도 여주시 (4167000000)","114,167","114,167","5,346","9,056","10,028","11,402","14,658","20,024","22,681","13,276","6,497","1,167","32","58,182","58,182","2,711","4,772","5,443","6,235","7,534","10,366","11,664","6,609","2,537","308","3","55,985","55,985","2,635","4,284","4,585","5,167","7,124","9,658","11,017","6,667","3,960","859","29"
"경기도 연천군 (4180000000)","41,347","41,347","1,837","2,714","4,066","4,008","4,077","6,343","8,879","5,580","3,251","577","15","21,597","21,597","937","1,419","2,524","2,378","2,197","3,405","4,617","2,742","1,212","163","3","19,750","19,750","900","1,295","1,542","1,630","1,880","2,938","4,262","2,838","2,039","414","12"
"경기도 가평군 (4182000000)","62,224","62,224","2,501","4,138","5,301","5,390","6,918","10,484","13,868","8,551","4,337","706","30","31,980","31,980","1,289","2,102","3,016","2,964","3,654","5,577","7,206","4,223","1,756","186","7","30,244","30,244","1,212","2,036","2,285","2,426","3,264","4,907","6,662","4,328","2,581","520","23"
"경기도 양평군 (4183000000)","127,241","127,241","5,686","10,153","9,091","10,551","15,331","21,390","27,886","17,457","8,157","1,503","36","64,028","64,028","2,908","5,379","5,130","5,488","7,632","10,918","14,096","8,656","3,455","362","4","63,213","63,213","2,778","4,774","3,961","5,063","7,699","10,472","13,790","8,801","4,702","1,141","32"
"강원특별자치도  (5100000000)","1,509,064","1,509,064","81,375","125,582","148,990","158,338","195,749","258,272","279,377","158,166","88,160","14,615","440","758,837","758,837","41,597","64,835","83,473","85,148","99,759","133,084","140,113","74,546","32,880","3,302","100","750,227","750,227","39,778","60,747","65,517","73,190","95,990","125,188","139,264","83,620","55,280","11,313","340"
"동해출장소  (5110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도 춘천시 (5111000000)","285,140","285,140","17,303","25,699","35,175","34,746","38,768","46,395","45,282","24,625","14,561","2,522","64","140,504","140,504","8,784","13,209","18,815","18,148","19,209","23,089","21,994","11,234","5,398","602","22","144,636","144,636","8,519","12,490","16,360","16,598","19,559","23,306","23,288","13,391","9,163","1,920","42"
"강원특별자치도 원주시 (5113000000)","362,996","362,996","23,709","34,432","38,960","46,805","53,762","62,527","57,778","27,543","14,793","2,627","60","179,795","179,795","12,112","17,586","20,797","24,192","26,690","30,903","28,561","12,867","5,498","574","15","183,201","183,201","11,597","16,846","18,163","22,613","27,072","31,624","29,217","14,676","9,295","2,053","45"
"강원특별자치도 강릉시 (5115000000)","206,780","206,780","10,276","16,674","20,350","20,494","27,443","36,582","37,338","22,886","12,541","2,129","67","102,435","102,435","5,357","8,747","11,188","11,014","13,825","18,680","18,025","10,413","4,673","505","8","104,345","104,345","4,919","7,927","9,162","9,480","13,618","17,902","19,313","12,473","7,868","1,624","59"
"강원특별자치도 동해시 (5117000000)","86,575","86,575","4,706","7,878","7,642","8,100","11,997","15,989","15,235","9,428","4,865","717","18","43,951","43,951","2,403","4,108","4,494","4,516","6,142","8,394","7,495","4,374","1,865","158","2","42,624","42,624","2,303","3,770","3,148","3,584","5,855","7,595","7,740","5,054","3,000","559","16"
"강원특별자치도 태백시 (5119000000)","37,305","37,305","1,513","3,207","2,672","2,691","4,938","6,728","7,397","5,242","2,586","321","10","18,846","18,846","776","1,673","1,551","1,497","2,573","3,685","3,776","2,310","940","63","2","18,459","18,459","737","1,534","1,121","1,194","2,365","3,043","3,621","2,932","1,646","258","8"
"강원특별자치도 속초시 (5121000000)","79,827","79,827","4,291","6,611","6,940","8,648","10,827","14,537","15,001","8,269","4,038","645","20","39,452","39,452","2,233","3,306","3,881","4,784","5,481","7,167","7,205","3,762","1,468","160","5","40,375","40,375","2,058","3,305","3,059","3,864","5,346","7,370","7,796","4,507","2,570","485","15"
"강원특별자치도 삼척시 (5123000000)","60,819","60,819","2,748","4,559","6,023","4,687","6,963","10,572","12,126","7,737","4,542","839","23","31,036","31,036","1,398","2,361","3,474","2,558","3,716","5,937","6,160","3,668","1,570","192","2","29,783","29,783","1,350","2,198","2,549","2,129","3,247","4,635","5,966","4,069","2,972","647","21"
"강원특별자치도 홍천군 (5172000000)","66,209","66,209","2,804","4,352","4,899","5,440","6,782","10,837","16,076","9,110","4,950","923","36","34,130","34,130","1,432","2,190","2,913","3,101","3,565","5,765","8,389","4,682","1,894","187","12","32,079","32,079","1,372","2,162","1,986","2,339","3,217","5,072","7,687","4,428","3,056","736","24"
"강원특별자치도 횡성군 (5173000000)","45,759","45,759","1,583","3,254","2,850","2,852","4,272","7,556","12,049","6,885","3,779","663","16","23,601","23,601","827","1,721","1,628","1,570","2,328","4,016","6,290","3,579","1,510","131","1","22,158","22,158","756","1,533","1,222","1,282","1,944","3,540","5,759","3,306","2,269","532","15"
"강원특별자치도 영월군 (5175000000)","36,249","36,249","1,191","2,439","2,435","2,291","3,639","6,378","8,825","5,473","3,083","483","12","18,805","18,805","627","1,333","1,429","1,268","1,925","3,513","4,737","2,710","1,147","112","4","17,444","17,444","564","1,106","1,006","1,023","1,714","2,865","4,088","2,763","1,936","371","8"
"강원특별자치도 평창군 (5176000000)","39,846","39,846","1,207","2,494","2,665","2,543","4,077","7,264","10,067","5,900","3,170","443","16","20,676","20,676","580","1,313","1,624","1,436","2,184","3,913","5,329","2,933","1,262","100","2","19,170","19,170","627","1,181","1,041","1,107","1,893","3,351","4,738","2,967","1,908","343","14"
"강원특별자치도 정선군 (5177000000)","33,609","33,609","1,071","2,097","2,133","2,155","3,775","6,251","8,141","4,909","2,673","381","23","17,579","17,579","527","1,074","1,240","1,239","2,128","3,604","4,333","2,358","981","89","6","16,030","16,030","544","1,023","893","916","1,647","2,647","3,808","2,551","1,692","292","17"
"강원특별자치도 철원군 (5178000000)","39,991","39,991","2,289","3,075","3,976","4,135","4,451","6,374","7,613","4,673","3,006","385","14","20,627","20,627","1,155","1,594","2,518","2,374","2,328","3,409","3,919","2,129","1,106","93","2","19,364","19,364","1,134","1,481","1,458","1,761","2,123","2,965","3,694","2,544","1,900","292","12"
"강원특별자치도 화천군 (5179000000)","22,433","22,433","1,228","1,597","2,718","2,426","2,234","3,390","4,445","2,469","1,644","264","18","12,030","12,030","611","812","1,798","1,477","1,219","1,793","2,414","1,224","612","62","8","10,403","10,403","617","785","920","949","1,015","1,597","2,031","1,245","1,032","202","10"
"강원특별자치도 양구군 (5180000000)","20,468","20,468","1,244","1,829","2,135","2,212","2,261","3,053","4,028","2,102","1,381","220","3","10,753","10,753","616","946","1,375","1,271","1,193","1,627","2,136","1,026","519","44","0","9,715","9,715","628","883","760","941","1,068","1,426","1,892","1,076","862","176","3"
"강원특별자치도 인제군 (5181000000)","30,927","30,927","1,967","2,136","3,344","3,756","3,685","4,628","6,149","3,118","1,828","304","12","16,916","16,916","1,032","1,115","2,273","2,255","2,026","2,592","3,268","1,588","706","59","2","14,011","14,011","935","1,021","1,071","1,501","1,659","2,036","2,881","1,530","1,122","245","10"
